latitude,longitude,month_fitted,nir,green,swir16,red,blue,NDMI,MNDWI,pet,aet,def,q,ppt,soil,srad,tmax,tmin,vap,vpd,ws,pdsi,esa_urban_frac_1km,esa_cropland_frac_1km,esa_water_frac_1km,esa_forest_frac_1km,esa_bare_frac_1km,gsw_occurrence_mean_1km,gsw_seasonality_mean_1km,gsw_water_frac_1km,gaia_impervious_frac_by_sample_year_1km,gaia_recent_change_5y_frac_1km,dissolved_reactive_phosphorus,landsat_present,ndvi,wb,rr,seasonal_water,gsw_occ_x_impervious
-28.760833,17.730278,49.67225884499162,11190.0,11426.0,7687.5,12802.0,9557.0,0.1855383392928079,0.1955947367044225,236.3000030517578,7.900000095367432,228.40000915527344,0.4,8.3,0.0,317.50146484375,35.7599983215332,21.029998779296875,1.3840000629425049,2.819999933242798,2.93999981880188,-1.159999966621399,0.0,0.0,0.3125,0.0,0.6875,17.305662155151367,2.089446544647217,0.2606177606177606,0.0,0.0,7.739560485559633,1,-0.0671890630182065,-228.0000030517578,0.04819276527798,1,0.0
-26.861111,28.884722,49.67225884499162,17658.5,9550.0,13746.5,9241.5,8691.0,0.1245661518866418,-0.1801343549460211,134.3000030517578,134.3000030517578,0.0,8.8,175.0,35.70000076293945,240.5982360839844,25.40999984741211,14.09999942779541,1.633000135421753,0.7999999523162842,1.9299999475479128,1.5399999618530271,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,1,0.3128996282411561,40.69999694824219,0.0502857139983673,0,0.0
-26.45,28.085833,49.67225884499162,15210.0,10720.0,17974.0,12540.0,9502.5,-0.0832931533269042,-0.2528054645570494,141.5,141.5,0.0,7.800000000000001,156.10000000000002,9.90000057220459,245.3014373779297,26.06999969482422,15.25,1.6380001306533811,0.9300000071525574,2.1499998569488525,-0.6200000047683716,0.0,0.25,0.0,0.1875,0.0,0.3224932253360748,0.0467479676008224,0.0060975609756097,0.0010361557403028,0.0,80.0,1,0.0962162162127489,14.600000000000025,0.0499679689303781,0,0.0003341532066407
-27.671111,27.236944,49.67225884499162,14887.0,10943.0,13522.0,11237.5,9693.5,0.0480481537540918,-0.1054159002656852,152.40000915527344,152.40000915527344,0.0,16.1,194.7,28.200000762939453,250.50262451171875,27.599998474121097,15.960000038146973,1.5870001316070557,1.1799999475479126,2.2200000286102295,3.0799999237060547,0.64,0.0,0.0,0.28,0.0,2.7722008228302,0.4382239282131195,0.0624195624195624,0.7842119013645774,0.0339074338310657,101.0,1,0.1396964535152942,42.29999084472655,0.0826913195547441,0,2.1739928782361173
-27.356667,27.286389,49.67225884499162,16828.5,9502.5,12665.5,9290.0,8718.0,0.1411473520037969,-0.1426831468783826,151.90000915527344,151.90000915527344,0.0,9.0,180.4,21.30000114440918,253.00045776367188,27.209999084472656,16.149999618530273,1.6170001029968262,1.1200000047683716,2.2699999809265137,2.690000057220459,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1,0.2886268353738297,28.499990844726568,0.0498891349784416,0,0.0
-27.010111,26.698083,49.67225884499162,12433.5,10433.5,9579.5,10728.5,9344.0,0.1296506609730608,0.0426722630290309,155.6999969482422,155.6999969482422,0.0,8.4,168.5,5.300000190734863,256.2017822265625,27.849998474121097,16.75,1.652000069618225,1.1899999380111694,2.299999952316284,2.180000066757202,0.0,0.0,0.4,0.05,0.0,11.847725868225098,1.6572182178497314,0.1713909030982201,0.0,0.0,192.0,1,0.0736119506055775,12.800003051757812,0.0498516317516223,1,0.0
-25.127778,27.628889,49.67225884499162,7814.0,5189.5,6664.0,5122.0,4984.0,0.0794308606161066,-0.1243936390095741,158.1999969482422,102.0999984741211,56.10000228881836,5.4,107.4,1.100000023841858,250.8029937744141,30.329999923706055,18.770000457763672,1.9640001058578491,1.2999999523162842,2.2100000381469727,-1.2999999523162842,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,1,0.2081014223710496,-50.79999694824218,0.0502793291407883,0,0.0
-25.20639,27.558,49.67225884499162,14137.5,10466.5,10315.5,9985.0,10039.0,0.1562998405103662,0.0072659031854489,156.5,104.5999984741211,51.900001525878906,5.5,110.1,1.100000023841858,250.39987182617188,30.029998779296875,18.600000381469727,1.9580000638961792,1.25,2.180000066757202,-1.2799999713897705,0.0,0.625,0.0,0.0,0.0,0.1864864826202392,0.0331081077456474,0.0094594594594594,0.0,0.0,69.0,1,0.1721421908934753,-46.400000000000006,0.0499545862856077,0,0.0
-24.69514,27.40906,49.67225884499162,15543.0,10647.0,11919.5,10524.0,9921.0,0.1319435593991802,-0.0563888950435377,157.8000030517578,102.9000015258789,54.900001525878906,5.4,108.2,1.399999976158142,246.70054626464844,30.51999855041504,19.84000015258789,2.0,1.3600000143051147,2.1399998664855957,-1.100000023841858,0.0,0.85,0.0,0.1,0.0,0.8747528195381165,0.4377059936523437,0.067237969676994,0.0,0.0,158.0,1,0.192542294848178,-49.60000305175781,0.0499075780969724,0,0.0
-26.984722,26.632278,49.67225884499162,13683.0,10207.0,14011.5,10262.5,9414.0,-0.0118615609597573,-0.1570906538390067,155.1999969482422,155.1999969482422,0.0,8.5,170.3,8.300000190734863,254.5023193359375,28.010000228881836,17.0,1.658000111579895,1.209999918937683,2.2300000190734863,2.109999895095825,0.0,0.12,0.04,0.0,0.0,0.0038610037881881,0.0,0.0025740025740025,0.0051564736999619,0.0,158.0,1,0.1428452109940136,15.100003051757824,0.0499119198478454,0,1.9909164489245204e-05
