Latitude,Longitude,Sample Date,esa_urban_frac_1km,esa_cropland_frac_1km,esa_water_frac_1km,esa_forest_frac_1km,esa_shrub_frac_1km,esa_grass_frac_1km,esa_sparse_veg_frac_1km,esa_bare_frac_1km,esa_snow_ice_frac_1km,esa_flooded_frac_1km,esa_other_frac_1km,gsw_occurrence_mean_1km,gsw_seasonality_mean_1km,gsw_recurrence_mean_1km,gsw_extent_mean_1km,gsw_change_mean_1km,gsw_water_frac_1km,gaia_changed_ever_frac_1km,gaia_impervious_frac_by_sample_year_1km,gaia_recent_change_5y_frac_1km,gaia_years_since_change_mean_1km,gaia_transition_year_mean_changed_pixels_1km
-28.760833,17.730278,02-01-2011,0.0,0.0,0.125,0.0,0.03125,0.0,0.0,0.84375,0.0,0.0,0.0,9.271331787109375,1.127248764038086,12.38851261138916,0.14012213051319122,230.03399658203125,0.13665621389668262,0.0,0.0,0.0,-1.0,-1.0
-26.861111,28.884722,03-01-2011,0.0,0.125,0.0,0.0,0.041666666666666664,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.015870364382863045,0.0036752421874552965,0.04059471935033798,0.0005011694156564772,252.93768310546875,0.0005011693952555964,0.000258095598609725,0.0,0.0,-1.0,-0.4796792732027943
-26.45,28.085833,03-01-2011,0.015625,0.25,0.046875,0.15625,0.046875,0.4375,0.0,0.0,0.0,0.0,0.046875,1.8655692338943481,0.28326475620269775,2.9934842586517334,0.03497942537069321,248.2443389892578,0.03497942386831276,0.01262757343567312,0.011073379295492937,0.0,-0.7778853411049812,24.201853249535493
-27.671111,27.236944,03-01-2011,0.6964285714285714,0.0,0.0,0.26785714285714285,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.017857142857142905,2.2489142417907715,0.3312729597091675,4.27597713470459,0.052455730736255646,243.64450073242188,0.05228867357166722,0.8386757407710713,0.7844290619194084,0.02203146462114141,15.522368578384738,1670.850391825668
-27.356667,27.286389,03-01-2011,0.0,0.23214285714285715,0.0,0.0,0.0,0.7678571428571429,0.0,0.0,0.0,0.0,0.0,0.17824925482273102,0.0023387905675917864,0.4041095972061157,0.005846976302564144,251.8671875,0.005846976277981958,0.0007708593015510897,0.0007708593015510897,0.0,-0.9830410953658761,0.5347808693882196
-27.01011111,26.69808333,04-01-2011,0.0,0.0,0.25,0.05357142857142857,0.03571428571428571,0.625,0.0,0.0,0.0,0.0,0.03571428571428581,5.344156742095947,0.7366818785667419,7.369693756103516,0.08083882927894592,241.15423583984375,0.0806697108066971,0.023871617277810783,0.016905018942839925,0.0012837463559798317,-0.7361658640724884,46.80599762254215
-25.127778,27.628889,04-01-2011,0.0,0.21875,0.0,0.03125,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.005073566921055317,0.0003382377908565104,0.011500084772706032,0.0001691188954282552,252.9770050048828,0.00016911889058007779,0.0,0.0,0.0,-1.0,-1.0
-25.20639,27.558,04-01-2011,0.0,0.48214285714285715,0.0,0.03571428571428571,0.48214285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.05017123371362686,0.008732876740396023,0.195890411734581,0.0025684931315481663,252.86233520507812,0.0025684931506849314,0.0018324137046066978,0.0015706403182343125,0.0,-0.9732991145900167,2.662733222122416
-24.69514,27.40906,04-01-2011,0.0,0.7142857142857143,0.0,0.05357142857142857,0.23214285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.6811643838882446,0.20291095972061157,2.9686644077301025,0.034246575087308884,250.7722625732422,0.03424657534246575,0.0,0.0,0.0,-1.0,-1.0
-26.98472222,26.63227778,04-01-2011,0.05357142857142857,0.14285714285714285,0.07142857142857142,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.1607142857142858,0.003341129282489419,0.0,0.16705647110939026,0.0023387905675917864,252.73521423339844,0.002171734046107584,0.007505007213825472,0.002774314939342193,0.0,-0.9667082207278938,14.088479818982021
-28.141944,26.417778,04-01-2011,0.0,0.2638888888888889,0.0,0.0,0.041666666666666664,0.5972222222222222,0.0,0.0,0.0,0.0,0.09722222222222221,0.07083193957805634,0.020882058888673782,0.7756431698799133,0.021216170862317085,250.68392944335938,0.018209154694286668,0.0,0.0,0.0,-1.0,-1.0
