latitude,longitude,sample_date,gaia_changed_ever_frac,gaia_impervious_frac_by_sample_year,gaia_recent_change_5y_frac,gaia_years_since_change_mean,gaia_transition_year_mean_changed_pixels,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,gsw_change,gsw_extent,gsw_occurrence,gsw_recurrence,gsw_seasonality,gsw_transitions,nir,green,swir16,swir22,red,blue,lwir11,coastal,qa_pixel,qa_aerosol,NDMI,MNDWI,pet,aet,def,q,ppt,soil,swe,srad,tmax,tmin,vap,vpd,ws,pdsi,esa_lccs_class,esa_change_count,esa_processed_flag,esa_observation_count,esa_current_pixel_state,Total Alkalinity__water_quality,Electrical Conductance__water_quality,Dissolved Reactive Phosphorus__water_quality,pet__terraclimate,nir__landsat,green__landsat,swir16__landsat,swir22__landsat,NDMI__landsat,MNDWI__landsat
-34.405833,19.600556,01-10-2014,0.0,0.0,0.0,-1.0,-1.0,54.181,1008.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,19002.5,9353.0,13580.0,10717.0,9095.5,8265.5,43324.0,8020.5,21824.0,96.0,0.1664236937006056,-0.18431953952819,132.3000030517578,11.90000057220459,120.4000015258789,0.3,5.9,14.100000381469728,0.0,263.8014831542969,23.479999542236328,12.179999351501465,1.3720000982284546,0.7899999618530273,3.4800000190734863,-2.5899999141693115,120.0,0.0,1.0,73.0,1.0,54.181,1008.0,20.0,173.0,19002.5,9353.0,13580.0,10717.0,0.1664236937006056,-0.18431953952819
-34.405833,19.600556,03-09-2014,0.0,0.0,0.0,-1.0,-1.0,58.231,877.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,17562.5,9283.5,13263.5,10589.0,9197.5,8261.5,41780.5,8018.5,21824.0,96.0,0.139460195938493,-0.1765201578924017,88.20000457763672,58.60000228881836,29.600000381469727,1.6,31.4,20.399999618530273,0.0,195.09732055664065,19.729999542236328,10.199999809265137,1.2310000658035278,0.550000011920929,3.639999866485596,-1.399999976158142,120.0,0.0,1.0,73.0,1.0,58.231,877.0,20.0,173.0,17562.5,9283.5,13263.5,10589.0,0.139460195938493,-0.1765201578924017
-34.405833,19.600556,03-12-2014,0.0,0.0,0.0,-1.0,-1.0,54.973,867.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,17724.0,10167.0,17359.5,13360.0,10561.0,8912.5,47043.5,8563.5,21824.0,96.0,0.0103894993372952,-0.2612936624707091,158.3000030517578,5.0,153.3000030517578,0.2,3.2,9.0,0.0,312.000732421875,25.15999984741211,14.839999198913574,1.6440000534057615,0.8100000023841858,3.059999942779541,-2.509999990463257,120.0,0.0,1.0,73.0,1.0,54.973,867.0,20.0,173.0,17724.0,10167.0,17359.5,13360.0,0.0103894993372952,-0.2612936624707091
-34.405833,19.600556,20-05-2015,0.0,0.0,0.0,-1.0,-1.0,69.333,1493.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,15692.5,9810.0,13388.5,11283.0,9879.0,8643.5,39829.5,8142.5,24144.0,160.0,0.0792269866923418,-0.1542556630816641,47.900001525878906,47.900001525878906,0.0,4.6000000000000005,92.8,45.10000228881836,0.0,104.20050048828124,16.899999618530273,8.170000076293945,1.076000094413757,0.429999977350235,3.1999998092651367,-4.029999732971191,120.0,0.0,1.0,73.0,1.0,69.333,1493.0,20.0,163.0,15692.5,9810.0,13388.5,11283.0,0.0792269866923418,-0.1542556630816641
-34.405833,19.600556,22-07-2015,0.0,0.0,0.0,-1.0,-1.0,55.055,1327.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,15250.0,8908.0,10807.0,8920.0,8870.5,7876.5,39664.5,7632.5,23888.0,96.0,0.1705108032390522,-0.0963225970073543,60.400001525878906,49.5,10.90000057220459,1.6,32.300000000000004,37.10000228881836,0.0,138.30101013183594,16.020000457763672,7.279999732971191,0.975000023841858,0.449999988079071,2.90999984741211,-3.68999981880188,120.0,0.0,1.0,73.0,1.0,55.055,1327.0,20.0,163.0,15250.0,8908.0,10807.0,8920.0,0.1705108032390522,-0.0963225970073543
-34.405833,19.600556,25-02-2015,0.0,0.0,0.0,-1.0,-1.0,72.528,1318.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,16367.5,9905.0,16587.0,13312.5,10494.0,8918.0,45778.5,8518.5,21824.0,96.0,-0.0066606988423432,-0.2522270874226172,125.5,4.5,121.0,0.2,4.0,5.900000095367432,0.0,235.59829711914065,25.68000030517578,15.289999961853027,1.7590000629425049,0.7699999809265137,3.7699999809265137,-3.619999885559082,120.0,0.0,1.0,73.0,1.0,72.528,1318.0,20.0,163.0,16367.5,9905.0,16587.0,13312.5,-0.0066606988423432,-0.2522270874226172
-34.405833,19.600556,25-06-2014,0.0,0.0,0.0,-1.0,-1.0,51.669,1206.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,13486.5,9007.0,10719.0,9320.5,9124.5,7932.5,39587.0,7518.5,21824.0,160.0,0.1143335192414942,-0.0867890094291793,49.900001525878906,49.900001525878906,0.0,3.5,69.60000000000001,40.79999923706055,0.0,112.89640808105467,16.690000534057617,7.369999885559082,1.0390000343322754,0.429999977350235,3.179999828338623,-0.8999999761581421,120.0,0.0,1.0,73.0,1.0,51.669,1206.0,20.0,158.3,13486.5,9007.0,10719.0,9320.5,0.1143335192414942,-0.0867890094291793
-34.405833,19.600556,26-08-2015,0.0,0.0,0.0,-1.0,-1.0,69.38,1318.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,17417.5,9165.5,12660.5,9986.5,8967.0,8242.0,41663.5,8065.0,21824.0,96.0,0.158155462464259,-0.1601301200403181,83.9000015258789,56.5,27.399999618530273,2.0,40.5,19.100000381469727,0.0,178.40008544921875,19.40999984741211,10.399999618530272,1.2380000352859497,0.5299999713897705,4.139999866485596,-3.619999885559082,120.0,0.0,1.0,73.0,1.0,69.38,1318.0,20.0,163.0,17417.5,9165.5,12660.5,9986.5,0.158155462464259,-0.1601301200403181
-34.405833,19.600556,31-07-2014,0.0,0.0,0.0,-1.0,-1.0,52.859,919.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,14694.0,9036.5,11885.0,9741.0,9032.0,8149.0,40587.0,7863.0,21824.0,96.0,0.1056849392377436,-0.1361518055588742,65.70000457763672,65.70000457763672,0.0,3.9,77.9,49.10000228881836,0.0,153.60110473632812,17.959999084472656,9.389999389648438,1.1740000247955322,0.449999988079071,3.649999856948853,-1.0399999618530271,120.0,0.0,1.0,73.0,1.0,52.859,919.0,20.0,173.0,14694.0,9036.5,11885.0,9741.0,0.1056849392377436,-0.1361518055588742
-34.329722,18.990278,01-10-2015,0.0166102136529442,0.0166102136529442,0.0,-0.5681344450234498,32.07093538301198,10.0,118.7,20.0,253.0,0.0,0.0,0.0,0.0,0.0,12967.5,8952.5,11773.0,10146.5,9113.0,8398.0,42257.0,8239.0,21824.0,96.0,0.0482811584244455,-0.1360883935248841,120.8000030517578,35.20000076293945,85.5999984741211,0.7000000000000001,13.3,30.100000381469727,0.0,247.3020172119141,21.729999542236328,13.229999542236328,1.4070000648498535,0.6599999666213989,3.7200000286102295,-5.079999923706055,120.0,0.0,1.0,71.0,1.0,10.0,118.7,20.0,166.40001,12967.5,8952.5,11773.0,10146.5,0.0482811584244455,-0.1360883935248841
