latitude,longitude,sample_date,gaia_changed_ever_frac,gaia_impervious_frac_by_sample_year,gaia_recent_change_5y_frac,gaia_years_since_change_mean,gaia_transition_year_mean_changed_pixels,gsw_change,gsw_extent,gsw_occurrence,gsw_recurrence,gsw_seasonality,gsw_transitions,nir,green,swir16,swir22,red,blue,NDMI,MNDWI,pet,aet,def,q,ppt,soil,swe,srad,tmax,tmin,vap,vpd,ws,pdsi,esa_lccs_class,esa_change_count,esa_urban_frac_1km,esa_cropland_frac_1km,esa_water_frac_1km,esa_forest_frac_1km,esa_shrub_frac_1km,esa_grass_frac_1km,esa_sparse_veg_frac_1km,esa_bare_frac_1km,esa_snow_ice_frac_1km,esa_flooded_frac_1km,esa_other_frac_1km,gsw_occurrence_mean_1km,gsw_seasonality_mean_1km,gsw_recurrence_mean_1km,gsw_extent_mean_1km,gsw_change_mean_1km,gsw_water_frac_1km,gaia_changed_ever_frac_1km,gaia_impervious_frac_by_sample_year_1km,gaia_recent_change_5y_frac_1km,gaia_years_since_change_mean_1km,gaia_transition_year_mean_changed_pixels_1km,month_sin,month_cos,landsat_present,ndvi,nbr,mineral_index,swir_ratio,salinity_proxy,wb,eci,rr,etgap,dsi,hri,water_perm,water_instab,recurrence_ratio,seasonal_water,esa_change_intensity,wb_x_impervious,eci_x_impervious,gsw_occ_x_impervious
-34.405833,19.600556,01-10-2014,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,19002.5,9353.0,13580.0,10717.0,9095.5,8265.5,0.1664236937006056,-0.18431953952819,132.3000030517578,11.90000057220459,120.4000015258789,0.3,5.9,14.100000381469728,0.0,263.8014831542969,23.479999542236328,12.179999351501465,1.3720000982284546,0.7899999618530273,3.4800000190734863,-2.5899999141693115,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.8660254037844386,0.5000000000000001,1,0.3525873727541965,0.27879002001114456,0.11783347737918946,1.2671456563154664,0.563978423861914,-126.4000030517578,22.423725530174963,0.05084744900890694,120.40000247955322,20.40677646086482,4703.580298724308,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0
-34.405833,19.600556,02-08-2011,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,70.4000015258789,67.5999984741211,2.799999952316284,3.3000000000000003,66.2,51.10000228881836,0.0,158.59658813476562,17.779998779296875,7.239999771118164,1.0040000677108765,0.5299999713897705,3.359999895095825,-3.299999952316284,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.8660254037844384,-0.5000000000000004,0,,,,,,-4.200001525878903,1.0634441157467491,0.049848941845182154,2.8000030517578125,0.04229607114834159,1984.0432026163035,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0
-34.405833,19.600556,02-12-2015,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,163.0,18.0,145.0,0.9,17.0,8.800000190734863,0.0,323.4983825683594,26.469999313354492,15.739999771118164,1.7030000686645508,0.9300000071525574,2.069999933242798,-3.490000009536743,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.4492935982947064e-16,1.0,0,,,,,,-146.0,9.588234730103839,0.05294117335640156,145.0,8.529411262975808,6827.433216019417,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0
-34.405833,19.600556,03-07-2013,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,14964.0,8714.0,11536.5,9401.0,8631.0,7948.5,0.1293371823173142,-0.139379274585812,51.400001525878906,43.70000076293945,7.700000286102295,1.9,38.5,29.100000381469727,0.0,113.60337829589844,17.420000076293945,8.399999618530273,1.1060000658035278,0.449999988079071,3.5,-1.5999999046325684,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.4999999999999998,-0.8660254037844388,1,0.268404322938402,0.2283193104769826,0.10199402984587491,1.227156685328459,0.628241111960155,-12.900001525878906,1.335064940021142,0.04935064806881434,7.700000762939453,0.2000000022364232,1466.619596465549,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0
-34.405833,19.600556,03-09-2014,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,17562.5,9283.5,13263.5,10589.0,9197.5,8261.5,0.139460195938493,-0.1765201578924017,88.20000457763672,58.60000228881836,29.600000381469727,1.6,31.4,20.399999618530273,0.0,195.09732055664065,19.729999542236328,10.199999809265137,1.2310000658035278,0.550000011920929,3.639999866485596,-1.399999976158142,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.8369701987210297e-16,1,0.3125934230077506,0.24771326571416397,0.1121266114616025,1.2525734251343306,0.6029323843073063,-56.80000457763672,2.8089172537808746,0.050955412389955025,29.60000228881836,0.9426751413628849,2919.631338869964,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0
-34.405833,19.600556,03-12-2014,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,17724.0,10167.0,17359.5,13360.0,10561.0,8912.5,0.0103894993372952,-0.2612936624707091,158.3000030517578,5.0,153.3000030517578,0.2,3.2,9.0,0.0,312.000732421875,25.15999984741211,14.839999198913574,1.6440000534057615,0.8100000023841858,3.059999942779541,-2.509999990463257,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.4492935982947064e-16,1.0,1,0.2532437687730867,0.14039377171083536,0.13019417633326733,1.299363772357832,0.7537801850172771,-155.10000305175782,49.46873549469447,0.0624999804687561,153.3000030517578,47.906235982975566,6240.014499663957,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0
-34.405833,19.600556,05-06-2013,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,14964.0,8714.0,11536.5,9401.0,8631.0,7948.5,0.1293371823173142,-0.139379274585812,47.5,47.5,0.0,4.1000000000000005,82.60000000000001,36.20000076293945,0.0,108.1006317138672,16.65999984741211,7.210000038146973,1.0950000286102295,0.3700000047683716,4.059999942779541,-1.0099999904632568,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.2246467991473532e-16,-1.0,1,0.268404322938402,0.2283193104769826,0.10199402984587491,1.227156685328459,0.628241111960155,35.10000000000001,0.5750605257256595,0.04963680327316219,0.0,0.0,1290.1810333194373,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
-34.405833,19.600556,06-07-2011,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,46.5,46.5,0.0,5.2,51.7,55.79999923706055,0.0,117.60366821289062,16.940000534057617,7.0,1.0200001001358032,0.449999988079071,2.40999984741211,-3.2100000381469727,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.4999999999999998,-0.8660254037844388,0,,,,,,5.200000000000003,0.8994197118100636,0.10058026884757701,0.0,0.0,1407.7159399118682,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
-34.405833,19.600556,07-11-2012,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,141.90000915527344,19.899999618530273,122.0,0.8,15.4,13.300000190734863,0.0,305.60089111328125,23.36999893188477,13.059999465942385,1.4250000715255735,0.7699999809265137,2.7899999618530273,0.7999999523162842,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.5000000000000004,0.8660254037844384,0,,,,,,-126.50000915527343,9.21428571045375,0.05194804857480204,122.00000953674316,7.922077407657311,5566.519986815693,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0
-34.405833,19.600556,08-05-2013,0.0,0.0,0.0,-1.0,-1.0,253.0,0.0,0.0,0.0,0.0,0.0,15630.5,9161.0,13397.0,10534.0,8956.5,8299.5,0.0769442769787268,-0.1877826048408538,60.70000076293945,41.60000228881836,19.100000381469727,2.2,43.2,5.200000286102295,0.0,132.29832458496094,20.559999465942383,10.65999984741211,1.3000000715255735,0.5600000023841858,2.7699999809265137,-1.2400000095367432,120.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.8611111111111112,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.49999999999999994,-0.8660254037844387,1,0.2714442591503053,0.1947868294752513,0.11963561906649803,1.2717865956643453,0.6739387735085929,-17.50000076293945,1.4050925777279368,0.05092592474708508,19.099998474121094,0.44212962822546525,2065.176801350215,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0
