latitude,longitude,sample_date,gaia_changed_ever_frac,gaia_impervious_frac_by_sample_year,gaia_recent_change_5y_frac,gaia_years_since_change_mean,gaia_transition_year_mean_changed_pixels,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,gsw_change,gsw_extent,gsw_occurrence,gsw_recurrence,gsw_seasonality,gsw_transitions,nir,green,swir16,swir22,red,blue,lwir11,coastal,qa_pixel,qa_aerosol,NDMI,MNDWI,pet,aet,def,q,ppt,soil,swe,srad,tmax,tmin,vap,vpd,ws,pdsi,esa_lccs_class,esa_change_count,esa_processed_flag,esa_observation_count,esa_current_pixel_state
-34.405833,19.600556,03-07-2013,0.0,0.0,0.0,-1.0,-1.0,29.719,1167.0,10.0,253.0,0.0,0.0,0.0,0.0,0.0,14964.0,8714.0,11536.5,9401.0,8631.0,7948.5,,,5440.0,,0.1293371823173142,-0.139379274585812,51.400001525878906,43.70000076293945,7.700000286102295,1.9,38.5,29.100000381469727,0.0,113.60337829589844,17.420000076293945,8.399999618530273,1.1060000658035278,0.449999988079071,3.5,-1.5999999046325684,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,05-06-2013,0.0,0.0,0.0,-1.0,-1.0,24.012,911.0,12.0,253.0,0.0,0.0,0.0,0.0,0.0,14964.0,8714.0,11536.5,9401.0,8631.0,7948.5,,,5440.0,,0.1293371823173142,-0.139379274585812,47.5,47.5,0.0,4.1000000000000005,82.60000000000001,36.20000076293945,0.0,108.1006317138672,16.65999984741211,7.210000038146973,1.0950000286102295,0.3700000047683716,4.059999942779541,-1.0099999904632568,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,08-05-2013,0.0,0.0,0.0,-1.0,-1.0,65.572,911.0,14.0,253.0,0.0,0.0,0.0,0.0,0.0,15630.5,9161.0,13397.0,10534.0,8956.5,8299.5,,,5440.0,,0.0769442769787268,-0.1877826048408538,60.70000076293945,41.60000228881836,19.100000381469727,2.2,43.2,5.200000286102295,0.0,132.29832458496094,20.559999465942383,10.65999984741211,1.3000000715255735,0.5600000023841858,2.7699999809265137,-1.2400000095367432,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,10-04-2013,0.0,0.0,0.0,-1.0,-1.0,60.23,911.0,10.0,253.0,0.0,0.0,0.0,0.0,0.0,15874.0,9219.5,13150.5,10332.0,9069.0,8564.0,,,5440.0,,0.0938345191131627,-0.1757264193115772,83.9000015258789,37.29999923706055,46.60000228881836,1.9,38.5,5.800000190734863,0.0,174.5982208251953,22.11999893188477,11.139999389648438,1.3590000867843628,0.6399999856948853,2.740000009536743,-0.8499999642372131,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,12-02-2014,0.0,0.0,0.0,-1.0,-1.0,95.538,1339.0,10.0,253.0,0.0,0.0,0.0,0.0,0.0,15338.0,9898.0,15454.0,12006.5,10199.5,8868.0,,,5440.0,,-0.0037672122629254,-0.2191543073524762,136.60000610351562,7.900000095367432,128.6999969482422,0.3,7.0,7.599999904632568,0.0,286.4994812011719,26.63999938964844,17.469999313354492,1.9630000591278076,0.7899999618530273,3.419999837875366,0.7799999713897705,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,12-03-2014,0.0,0.0,0.0,-1.0,-1.0,88.362,1339.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,15477.0,9820.5,15152.0,11984.0,10159.5,8857.0,,,5440.0,,0.0106108589898461,-0.2134948443287607,113.0999984741211,56.900001525878906,56.20000076293945,2.9000000000000004,58.900000000000006,6.599999904632568,0.0,226.1968231201172,23.309999465942383,14.449999809265137,1.662000060081482,0.5999999642372131,3.3399999141693115,1.46999990940094,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,13-02-2013,0.0,0.0,0.0,-1.0,-1.0,54.318,1491.0,10.0,253.0,0.0,0.0,0.0,0.0,0.0,14875.0,9239.0,13896.0,11022.0,9311.0,8368.0,,,5440.0,,0.0340273191755586,-0.2012967365463574,130.5,52.70000076293945,77.80000305175781,2.7,54.1,7.400000095367432,0.0,281.2971496582031,25.61999893188477,16.399999618530273,1.8370001316070557,0.75,3.049999952316284,0.699999988079071,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,13-03-2013,0.0,0.0,0.0,-1.0,-1.0,65.624,1491.0,10.0,253.0,0.0,0.0,0.0,0.0,0.0,14875.0,9239.0,13896.0,11022.0,9311.0,8368.0,,,5440.0,,0.0340273191755586,-0.2012967365463574,126.5999984741211,19.899999618530273,106.70000457763672,1.0,19.9,6.5,0.0,230.002197265625,25.849998474121097,15.269999504089355,1.7880001068115234,0.7599999904632568,4.210000038146973,-0.5099999904632568,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,21-05-2014,0.0,0.0,0.0,-1.0,-1.0,78.688,1472.0,20.0,253.0,0.0,0.0,0.0,0.0,0.0,14388.0,9514.0,12286.5,9865.0,9664.0,8974.5,,,5440.0,,0.0787831074621827,-0.1271759822022425,53.60000228881836,53.60000228881836,0.0,3.8,76.80000000000001,24.600000381469727,0.0,107.10028076171876,17.600000381469727,7.980000019073486,1.0850000381469729,0.4599999785423279,3.9700000286102295,-0.9399999976158142,120.0,0.0,1.0,73.0,1.0
-34.405833,19.600556,22-01-2014,0.0,0.0,0.0,-1.0,-1.0,78.937,1339.0,10.0,253.0,0.0,0.0,0.0,0.0,0.0,15338.0,9898.0,15454.0,12006.5,10199.5,8868.0,,,5440.0,,-0.0037672122629254,-0.2191543073524762,136.60000610351562,7.900000095367432,128.6999969482422,0.3,7.0,7.599999904632568,0.0,286.4994812011719,26.63999938964844,17.469999313354492,1.9630000591278076,0.7899999618530273,3.419999837875366,0.7799999713897705,120.0,0.0,1.0,73.0,1.0
