latitude,longitude,month_fitted,swir16,swir22,red,NDMI,MNDWI,pet,aet,def,q,ppt,soil,srad,tmax,tmin,vap,vpd,ws,pdsi,esa_lccs_class,esa_change_count,electrical_conductance
-34.405833,19.600556,523.701326123089,13580.0,10717.0,9095.5,0.1664236937006056,-0.18431953952819,132.3000030517578,11.90000057220459,120.4000015258789,0.3,5.9,14.100000381469728,263.8014831542969,23.479999542236328,12.179999351501465,1.3720000982284546,0.7899999618530273,3.4800000190734863,-2.5899999141693115,120.0,0.0,1008.0
-34.405833,19.600556,540.2199509065298,14055.575913461267,11745.353685243224,10390.225257562455,0.0127714460516457,-0.164020911383519,70.4000015258789,67.5999984741211,2.799999952316284,3.3000000000000003,66.2,51.10000228881836,158.59658813476562,17.779998779296875,7.239999771118164,1.0040000677108765,0.5299999713897705,3.359999895095825,-3.299999952316284,120.0,0.0,1237.0
-34.405833,19.600556,470.4706418338331,14115.06659564907,11908.435926358692,10413.6103833185,0.0102378277240419,-0.1730844007435407,163.0,18.0,145.0,0.9,17.0,8.800000190734863,323.4983825683594,26.469999313354492,15.739999771118164,1.7030000686645508,0.9300000071525574,2.069999933242798,-3.490000009536743,120.0,0.0,1053.0
-34.405833,19.600556,528.7902062256917,11536.5,9401.0,8631.0,0.1293371823173142,-0.139379274585812,51.400001525878906,43.70000076293945,7.700000286102295,1.9,38.5,29.100000381469727,113.60337829589844,17.420000076293945,8.399999618530273,1.1060000658035278,0.449999988079071,3.5,-1.5999999046325684,120.0,0.0,1167.0
-34.405833,19.600556,538.3924865603143,13263.5,10589.0,9197.5,0.139460195938493,-0.1765201578924017,88.20000457763672,58.60000228881836,29.600000381469727,1.6,31.4,20.399999618530273,195.09732055664065,19.729999542236328,10.199999809265137,1.2310000658035278,0.550000011920929,3.639999866485596,-1.399999976158142,120.0,0.0,877.0
-34.405833,19.600556,470.4706418338331,17359.5,13360.0,10561.0,0.0103894993372952,-0.2612936624707091,158.3000030517578,5.0,153.3000030517578,0.2,3.2,9.0,312.000732421875,25.15999984741211,14.839999198913574,1.6440000534057615,0.8100000023841858,3.059999942779541,-2.509999990463257,120.0,0.0,867.0
-34.405833,19.600556,506.5644509520696,11536.5,9401.0,8631.0,0.1293371823173142,-0.139379274585812,47.5,47.5,0.0,4.1000000000000005,82.60000000000001,36.20000076293945,108.1006317138672,16.65999984741211,7.210000038146973,1.0950000286102295,0.3700000047683716,4.059999942779541,-1.0099999904632568,120.0,0.0,911.0
-34.405833,19.600556,528.7902062256917,14122.286368276302,11745.14807789859,10386.283343554134,0.0078384356354745,-0.1681998245726045,46.5,46.5,0.0,5.2,51.7,55.79999923706055,117.60366821289062,16.940000534057617,7.0,1.0200001001358032,0.449999988079071,2.40999984741211,-3.2100000381469727,120.0,0.0,1224.0
-34.405833,19.600556,499.30995767576616,14151.016595649073,11834.111589357435,10413.6103833185,0.0077047902878508,-0.1730844007435407,141.90000915527344,19.899999618530273,122.0,0.8,15.4,13.300000190734863,305.60089111328125,23.36999893188477,13.059999465942385,1.4250000715255735,0.7699999809265137,2.7899999618530273,0.7999999523162842,120.0,0.0,1010.0
-34.405833,19.600556,478.3286182457979,13397.0,10534.0,8956.5,0.0769442769787268,-0.1877826048408538,60.70000076293945,41.60000228881836,19.100000381469727,2.2,43.2,5.200000286102295,132.29832458496094,20.559999465942383,10.65999984741211,1.3000000715255735,0.5600000023841858,2.7699999809265137,-1.2400000095367432,120.0,0.0,911.0
